NUMBER,STREET NAME,streetAddress,city,latitude,longidtude,type
212,BIDWELL AVENUE,212 BIDWELL AVENUE,JERSEY CITY,40.707317,-74.084354,Vacant Building
150,BIDWELL AVENUE,150 BIDWELL AVENUE,JERSEY CITY,40.705823,-74.082125,Vacant Building
231,BIDWELL AVENUE,231 BIDWELL AVENUE,JERSEY CITY,40.707423,-74.085378,Vacant Building
83,BLEECKER STREET,83 BLEECKER STREET,JERSEY CITY,40.751173,-74.050894,Vacant Building
93,BLEECKER STREET,93 BLEECKER STREET,JERSEY CITY,40.751345,-74.051325,Vacant Building
13,BOLAND STREET,13 BOLAND STREET,JERSEY CITY,40.725517,-74.06973,Vacant Building
121,BOORAEM AVENUE,121 BOORAEM AVENUE,JERSEY CITY,40.740648,-74.051336,Vacant Building
141,BOORAEM AVENUE,141 BOORAEM AVENUE,JERSEY CITY,40.741001,-74.052009,Vacant Building
10,BOSTWICK AVENUE,10 BOSTWICK AVENUE,JERSEY CITY,40.7063374,-74.0787782,Vacant Building
114,BOSTWICK AVENUE,114 BOSTWICK AVENUE,JERSEY CITY,40.708825,-74.082455,Vacant Building
148,BOSTWICK AVENUE,148 BOSTWICK AVENUE,JERSEY CITY,40.709618,-74.083697,Vacant Building
147,BOSTWICK AVENUE,147 BOSTWICK AVENUE,JERSEY CITY,40.709241,-74.084006,Vacant Building
80,BOWERS STREET,80 BOWERS STREET,JERSEY CITY,40.746682,-74.045935,Vacant Building
216,BOWERS STREET,216 BOWERS STREET,JERSEY CITY,40.7490049,-74.052272,Vacant Building
257,BOWERS STREET,257 BOWERS STREET,JERSEY CITY,40.749328,-74.054303,Vacant Building
53,BOWERS STREET,53 BOWERS STREET,JERSEY CITY,40.7458646,-74.0448285,Vacant Building
40,BOYD AVENUE,40 BOYD AVENUE,JERSEY CITY,40.715942,-74.081145,Vacant Building
279,BOYD AVENUE,279 BOYD AVENUE,JERSEY CITY,40.720318,-74.090903,Vacant Building
107,BOYD AVENUE,107 BOYD AVENUE,JERSEY CITY,40.717033,-74.0841839,Vacant Building
142,BOYD AVENUE,142 BOYD AVENUE,JERSEY CITY,40.7179043,-74.0854904,Vacant Building
143,BOYD AVENUE,143 BOYD AVENUE,JERSEY CITY,40.7176199,-74.085843,Vacant Building
