number,address,block,lot
66,Madison Avenue,18603,7
28,Magnolia Avenue,9705,43
61,Magnolia Avenue,10901,13
432,Mallory Avenue,14701,33
26,Manhattan Avenue,4403,37
125,Maple Street,19007,1
14,Marion Place,9205,16
30,Marion Place,.,.
233,Martin Luther King Drive,23404,35
469,Martin Luther King Drive,19502,3
164.5,Martin Luther King Drive,25101,58
467.5,Martin Luther King Drive,19502,4
479,Martin Luther King Drive,19501,28
545,Martin Luther King Drive,18503,7
310,Martin Luther King Drive,22604,22
124,Martin Luther King Drive,25603,3
544,Martin Luther King Drive,17001,41
417-419,Martin Luther King Drive,21101,36
123,Martin Luther King Drive,25603,3
30,McAdoo Avenue,27002,14
32,McAdoo Avenue,27002,15
124,McAdoo Avenue,25603,3
4,Mercer Street,12903,13
443,Mercer Street,12406,11
15,Minerva Street,21304,22
125,Monitor Street,17503 1.01,1.0
415.5,Monmouth Street,9902,17
620,Montgomery Street,12406,24
234,Montgomery Street,12905,26
260,Montgomery Street,12804,18
815,Montgomery Street,14906,1
24,Monticello Avenue,18604,9
143,Monticello Avenue,16701,25
151,Monticello Avenue,16701,21
112,Monticello Avenue,16902,2
10,Morton Place,22405,5
39,Morton Place,20902,80
137,Myrtle Avenue,23203,11
83,Myrtle Avenue,23203,34
153,Myrtle Avenue,23203,3
149,Myrtle Avenue,23203,5
85,Myrtle Avenue,23203,32
9,Myrtle Avenue,23703,12
7,Myrtle Avenue,23703,13
98,Myrtle Avenue,23202,47
154,Neptune Avenue,29203,46
25,Neptune Avenue,30106,15
281,Neptune Avenue,28501,9
14,Nevin Street,15004,39
9,Nevin Street,15004,04
387,New York Avenue,1705,26
134,New York Avenue,4504,6
201,New York Avenue,3805,19
161,New York Avenue,4503,31
262,New York Avenue,3001,43.01
159,New York Avenue,4503,32
366,New York Avenue,02304,09
655,Newark Avenue,08001,04
51,Newkirk Street,10801,14
82,Newkirk Street,10704,20
66.5,Oak Street,19502,20
89,Oak Street,19503,19
66,Oak Street,19502,19
86,Oak Street,19502,25
37,Oak Street,21301,4.01
106,Oak Street,19403,18
60.5,Oak Street,19502,15
87,Oakland Avenue,5702,14
790,Ocean Avenue,21302,6
812,Ocean Avenue,19602,25
103,Ocean Avenue,29302,29
105,Ocean Avenue,29302,28
512,Ocean Avenue,2410,82
438,Ocean Avenue,25903,5
275-279,Ocean Avenue,27203,10
115,Ocean Avenue,29302,23
674,Ocean Avenue,22701,38
311,Ocean Avenue,27201,21
